発送日,注文ID,配送業者(ID),配送先_TEL,配送先_お名前(姓),配送先_お名前(名),配送先_郵便番号,配送先_都道府県(名称),配送先_住所1,配送先_住所2,商品名
,107,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,107,,,,,,,,,手数料
,107,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
"2024-07-13 08:22:55",106,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,106,,,,,,,,,手数料
"2024-07-13 08:22:55",106,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,105,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,105,,,,,,,,,手数料
,105,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
"2024-07-13 08:12:56",104,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,104,,,,,,,,,手数料
"2024-07-13 08:12:56",104,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,103,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,103,,,,,,,,,手数料
,103,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
"2024-07-13 08:03:26",101,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,101,,,,,,,,,手数料
"2024-07-13 08:03:26",101,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,102,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,102,,,,,,,,,手数料
,102,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,100,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,100,,,,,,,,,手数料
,100,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,99,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,99,,,,,,,,,手数料
,99,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,98,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,98,,,,,,,,,手数料
,98,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,97,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,97,,,,,,,,,手数料
,97,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,96,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,96,,,,,,,,,手数料
,96,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,95,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,95,,,,,,,,,手数料
,95,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,94,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,94,,,,,,,,,手数料
,94,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,63,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),テスト667
,63,,,,,,,,,手数料
,63,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),送料
,93,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),商品名
,93,,,,,,,,,手数料
,93,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),送料
,91,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),商品名
,91,,,,,,,,,手数料
,91,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),送料
,92,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),商品名
,92,,,,,,,,,手数料
,92,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),送料
,90,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),商品名
,90,,,,,,,,,手数料
,90,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),送料
,89,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),商品名
,89,,,,,,,,,手数料
,89,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),送料
,86,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),商品名
,86,,,,,,,,,手数料
,86,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),送料
,87,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),商品名
,87,,,,,,,,,手数料
,87,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),送料
,88,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),商品名
,88,,,,,,,,,手数料
,88,3,11122223333,j,j,1040054,東京都,中央区勝どき,番地・ビル名(例：西梅田1丁目6-8),送料
,88,,,,,,,,,ポイント
"2024-06-27 14:22:08",85,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,85,,,,,,,,,手数料
"2024-06-27 14:22:08",85,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,82,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,82,,,,,,,,,手数料
,82,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,84,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,84,,,,,,,,,手数料
,84,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
,83,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,テスト667
,83,,,,,,,,,手数料
,83,3,090,kawazoe,da,5780941,大阪府,東大阪市,岩田町2-2-25,送料
"2024-06-26 17:49:11",76,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,テスト667
,76,,,,,,,,,手数料
"2024-06-26 17:49:11",76,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,送料
,77,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,テスト667
,77,,,,,,,,,手数料
,77,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,送料
,79,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,テスト667
,79,,,,,,,,,手数料
,79,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,送料
,78,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,テスト667
,78,,,,,,,,,手数料
,78,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,送料
,81,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,テスト667
,81,,,,,,,,,手数料
,81,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,送料
,80,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,テスト667
,80,,,,,,,,,手数料
,80,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,送料
,75,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,テスト667
,75,,,,,,,,,手数料
,75,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,送料
"2024-06-26 17:18:53",73,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,テスト667
,73,,,,,,,,,手数料
"2024-06-26 17:18:53",73,3,090,川,添,5780941,大阪府,東大阪市岩田町,2丁目2－25,送料
"2024-06-25 16:06:21",71,3,090,川,添,5780941,大阪府,東大阪市岩田町,2-2-25,テスト667
,71,,,,,,,,,手数料
"2024-06-25 16:06:21",71,3,090,川,添,5780941,大阪府,東大阪市岩田町,2-2-25,送料
"2024-06-11 12:00:58",53,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
"2024-06-11 12:00:58",53,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
"2024-06-11 12:00:58",53,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名
"2024-06-11 12:00:58",53,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),商品名3
,53,,,,,,,,,手数料
"2024-06-11 12:00:58",53,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),送料
"2024-06-11 12:00:58",53,1,1112222333,あ,あ,5300001,大阪府,大阪市北区梅田,番地・ビル名(例：西梅田1丁目6-8),テスト667
,69,,,,,,,,,手数料
"2024-06-25 16:06:21",69,3,090,吉,野竜太,5310075,大阪府,大阪市北区大淀南,2-2-2-2,テスト667
"2024-06-25 16:06:21",69,3,090,吉,野竜太,5310075,大阪府,大阪市北区大淀南,2-2-2-2,送料
